2013-08-15 18:07:43,834 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:07:44,035 || INFO || Operating system: Linux
2013-08-15 18:09:51,152 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:09:51,344 || INFO || Operating system: Linux
2013-08-15 18:10:24,730 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:10:24,923 || INFO || Operating system: Linux
2013-08-15 18:10:43,373 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:10:43,567 || INFO || Operating system: Linux
2013-08-15 18:11:19,109 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:11:19,308 || INFO || Operating system: Linux
2013-08-15 18:11:27,515 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:11:27,709 || INFO || Operating system: Linux
2013-08-15 18:12:05,724 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:12:05,916 || INFO || Operating system: Linux
2013-08-15 18:12:32,668 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:12:32,871 || INFO || Operating system: Linux
2013-08-15 18:13:11,235 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:13:11,430 || INFO || Operating system: Linux
2013-08-15 18:13:39,555 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:13:39,761 || INFO || Operating system: Linux
2013-08-15 18:14:09,173 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:14:09,385 || INFO || Operating system: Linux
2013-08-15 18:15:26,652 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:15:26,862 || INFO || Operating system: Linux
2013-08-15 18:16:52,746 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:16:52,965 || INFO || Operating system: Linux
2013-08-15 18:17:20,081 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:17:20,290 || INFO || Operating system: Linux
2013-08-15 18:19:42,358 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:19:42,614 || INFO || Operating system: Linux
2013-08-15 18:20:31,148 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:20:31,341 || INFO || Operating system: Linux
2013-08-15 18:29:27,907 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:29:28,113 || INFO || Operating system: Linux
2013-08-15 18:30:38,017 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:30:38,227 || INFO || Operating system: Linux
2013-08-15 18:32:16,840 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:32:17,050 || INFO || Operating system: Linux
2013-08-15 18:32:46,670 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:32:46,873 || INFO || Operating system: Linux
2013-08-15 18:34:35,204 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:34:35,403 || INFO || Operating system: Linux
2013-08-15 18:35:08,696 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:35:08,905 || INFO || Operating system: Linux
2013-08-15 18:36:00,506 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:36:00,711 || INFO || Operating system: Linux
2013-08-15 18:58:12,404 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:58:12,612 || INFO || Operating system: Linux
2013-08-15 18:58:42,595 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:58:42,805 || INFO || Operating system: Linux
2013-08-15 18:58:50,883 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:58:51,091 || INFO || Operating system: Linux
2013-08-15 18:59:33,051 || INFO || 	 ====== DicoGIS ======
2013-08-15 18:59:33,243 || INFO || Operating system: Linux
2013-08-15 19:02:06,414 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:02:06,702 || INFO || Operating system: Linux
2013-08-15 19:02:21,609 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:02:21,866 || INFO || Operating system: Linux
2013-08-15 19:06:42,006 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:06:42,292 || INFO || Operating system: Linux
2013-08-15 19:07:37,774 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:07:38,058 || INFO || Operating system: Linux
2013-08-15 19:14:48,341 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:14:48,595 || INFO || Operating system: Linux
2013-08-15 19:15:51,783 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:15:52,076 || INFO || Operating system: Linux
2013-08-15 19:16:06,039 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:16:06,299 || INFO || Operating system: Linux
2013-08-15 19:22:58,873 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:22:59,594 || INFO || Operating system: Linux
2013-08-15 19:23:15,808 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:23:16,290 || INFO || Operating system: Linux
2013-08-15 19:36:44,660 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:36:44,865 || INFO || Operating system: Linux
2013-08-15 19:36:58,741 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:36:58,947 || INFO || Operating system: Linux
2013-08-15 19:37:30,545 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:37:30,748 || INFO || Operating system: Linux
2013-08-15 19:38:45,608 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:38:45,811 || INFO || Operating system: Linux
2013-08-15 19:39:12,602 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:39:12,810 || INFO || Operating system: Linux
2013-08-15 19:39:39,163 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:39:39,367 || INFO || Operating system: Linux
2013-08-15 19:40:03,744 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:40:03,955 || INFO || Operating system: Linux
2013-08-15 19:48:45,558 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:48:45,763 || INFO || Operating system: Linux
2013-08-15 19:48:55,094 || INFO || 	Languages switched
2013-08-15 19:50:36,743 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:50:36,961 || INFO || Operating system: Linux
2013-08-15 19:50:41,708 || INFO || 	Languages switched
2013-08-15 19:50:44,453 || INFO || 	Languages switched
2013-08-15 19:52:25,749 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:52:25,963 || INFO || Operating system: Linux
2013-08-15 19:52:29,683 || INFO || 	Languages switched
2013-08-15 19:57:41,629 || INFO || 	 ====== DicoGIS ======
2013-08-15 19:57:41,839 || INFO || Operating system: Linux
2013-08-15 20:09:37,569 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:09:37,773 || INFO || Operating system: Linux
2013-08-15 20:10:49,699 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:10:49,908 || INFO || Operating system: Linux
